from,to,realtionship ,time ,rang ,AK,price_money
tatad,Tokyo2025,1,02:03:23,1,H,80.000
geder,Tokyo2025,1,02:03:51,2,H,30.000
kivin,Tokyo2025,1,02:04:00,3,H,15.000
kesut,Tokyo2025,1,02:16:31,1,30,80.000
mowin,Tokyo2025,1,02:16:56,2,H,30.000
fehaw,Tokyo2025,1,02:17:00,3,H,15.000
kiben,Tokyo2024,1,02:02:16,1,30,80.000
kitim,Tokyo2024,1,02:02:55,2,30,30.000
kivin,Tokyo2024,1,02:04:18,3,H,15.000
kesut,Tokyo2024,1,02:15:55,1,30,80.000
waros,Tokyo2024,1,02:16:14,2,30,30.000
beama,Tokyo2024,1,02:16:58,3,30,15.000
gedes,Tokyo2023,1,02:05:22,1,H,80.000
esmoh,Tokyo2023,1,02:05:22,2,H,30.000
getse,Tokyo2023,1,02:05:25,3,H,15.000
waros,Tokyo2023,1,02:16:28,1,H,80.000
getse,Tokyo2023,1,02:16:56,2,H,30.000
beash,Tokyo2023,1,02:19:11,3,35,15.000
kitit,Tokyo2023,1,02:05:32,4,H,7.000
lecam,Tokyo2023,1,02:05:36,5,30,5.000
edwor,Tokyo2023,1,02:20:13,4,30,7.000
sabet,Tokyo2023,1,02:21:40,5,35,5.000
kihai,Tokyo2024,1,02:05:43,4,35,7.000
getse,Tokyo2024,1,02:06:25,5,H,5.000
hasif,Tokyo2024,1,02:18:05,4,30,7.000
sabet,Tokyo2024,1,02:19:17,5,35,5.000
kitit,Tokyo2025,1,02:05:34,4,H,7.000
ummul,Tokyo2025,1,02:05:46,5,H,5.000
mamag,Tokyo2025,1,02:19:28,4,31,7.000
waros,Tokyo2025,1,02:19:57,5,30,5.000
,,,,,,
sasab,Berlin2025,1,02:02:16,1,30,30.000
akaki,Berlin2025,1,02:06:15,2,H,15.000
dechi,Berlin2025,1,02:06:57,3,H,10.000
adguy,Berlin2025,1,02:07:11,4,35,8.000
uryuh,Berlin2025,1,02:07:35,5,H,6.500
waros,Berlin2025,1,02:21:05,1,30,30.000
dider,Berlin2025,1,02:21:08,2,H,15.000
geazm,Berlin2025,1,02:21:29,3,30,10.000
chvio,Berlin2025,1,02:21:40,4,35,8.000
wofan,Berlin2025,1,02:21:57,5,H,6.500
memil,Berlin2024,1,02:03:17,1,H,30.000
kocyb,Berlin2024,1,02:03:22,2,30,15.000
alhay,Berlin2024,1,02:03:31,3,H,10.000
kiste,Berlin2024,1,02:03:37,4,H,8.000
kihai,Berlin2024,1,02:04:35,5,H,6.500
ketig,Berlin2024,1,02:16:42,1,H,30.000
fimes,Berlin2024,1,02:18:48,2,H,15.000
mubos,Berlin2024,1,02:19:00,3,H,10.000
muabe,Berlin2024,1,02:20:20,4,H,8.000
hoai,Berlin2024,1,02:20:31,5,H,6.500
kieli,Berlin2023,1,02:02:42,1,35,30.000
kivin,Berlin2023,1,02:03:13,2,H,15.000
tatad,Berlin2023,1,02:03:24,3,H,10.000
koron,Berlin2023,1,02:04:22,4,30,8.000
tehaf,Berlin2023,1,02:04:42,5,H,6.500
astig,Berlin2023,1,02:11:53,1,H,30.000
chshe,Berlin2023,1,02:17:49,2,30,15.000
shmag,Berlin2023,1,02:18:41,3,H,10.000
yizei,Berlin2023,1,02:19:07,4,H,8.000
tesen,Berlin2023,1,02:19:21,5,H,6.500
,,,,,,
jeper,WM2025,2,02:24:43,1,30,
astig,WM2025,2,02:24:45,2,H,
pajul,WM2025,2,02:27:23,3,H,
sialp,WM2025,2,02:09:48,1,30,
peama,WM2025,2,02:09:48,2,30,
aoili,WM2025,2,02:09:53,3,30,
kivic,WM2023,2,02:08:53,1,H,
temar,WM2023,2,02:09:12,2,30,
geleu,WM2023,2,02:09:19,3,30,
shama,WM2023,2,02:24:23,1,30,
gegot,WM2023,2,02:24:34,2,H,
gafat,WM2023,2,02:25:17,3,30,
totam,OLYMP2024,3,02:06:26,1,30,
abbas,OLYMP2024,3,02:06:47,2,35,
kiben,OLYMP2024,3,02:07:00,3,30,
hasif,OLYMP2024,3,02:22:55,1,30,
astig,OLYMP2024,3,02:22:58,2,H,
obhel,OLYMP2024,3,02:23:10,3,35,
jeper,OLYMP2021,3,02:27:20,1,H,
kobri,OLYMP2021,3,02:27:36,2,H,
semol,OLYMP2021,3,02:27:46,3,H,
kieli,OLYMP2021,3,02:08:38,1,35,
naabd,OLYMP2021,3,02:09:58,2,30,
abbas,OLYMP2021,3,02:10:00,3,30,
kojoh,Boston2025,1,02:04:45,1,H,150.000
alsim,Boston2025,1,02:04:54,2,30,75.000
kocyb,Boston2025,1,02:05:04,3,30,40.000
macon,Boston2025,1,02:05:08,4,H,25.000
edmuk,Boston2025,1,02:05:59,5,30,18.000
losha,Boston2025,1,02:17:22,1,30,200.000
obhel,Boston2025,1,02:17:41,2,35,75.000
yeyal,Boston2025,1,02:18:06,3,H,40.000
chire,Boston2025,1,02:21:32,4,30,25.000
beama,Boston2025,1,02:21:58,5,30,18.000
lesis,Boston2024,1,02:06:17,1,30,150.000
esmoh,Boston2024,1,02:06:58,2,H,75.000
cheva,Boston2024,1,02:07:22,3,35,40.000
kojoh,Boston2024,1,02:07:40,4,H,25.000
koalb,Boston2024,1,02:07:47,5,30,18.000
obhel,Boston2024,1,02:22:37,1,30,150.000
losha,Boston2024,1,02:22:45,2,30,75.000
kiedn,Boston2024,1,02:23:21,3,40,40.000
dibuz,Boston2024,1,02:24:04,4,30,25.000
tesen,Boston2024,1,02:24:04,5,H,18.000
cheva,Boston2023,1,02:05:54,1,30,150.000
gegab,Boston2023,1,02:06:04,2,H,75.000
