from,to,realtionship ,time ,rang ,AK,price_money
tatad,tokyo2025,1,02:03:23,1,H,80.000
geder,tokyo2025,1,02:03:51,2,H,30.000
kivin,tokyo2025,1,02:04:00,3,H,15.000
kesut,tokyo2025,1,02:16:31,1,30,80.000
mowin,tokyo2025,1,02:16:56,2,H,30.000
fehaw,tokyo2025,1,02:17:00,3,H,15.000
kiben,tokyo2024,1,02:02:16,1,30,80.000
kitim,tokyo2024,1,02:02:55,2,30,30.000
kivin,tokyo2024,1,02:04:18,3,H,15.000
kesut,tokyo2024,1,02:15:55,1,30,80.000
waros,tokyo2024,1,02:16:14,2,30,30.000
beama,tokyo2024,1,02:16:58,3,30,15.000
gedes,tokyo2023,1,02:05:22,1,H,80.000
esmoh,tokyo2023,1,02:05:22,2,H,30.000
getse,tokyo2023,1,02:05:25,3,H,15.000
waros,tokyo2023,1,02:16:28,1,H,80.000
getse,tokyo2023,1,02:16:56,2,H,30.000
beash,tokyo2023,1,02:19:11,3,35,15.000
kitit,tokyo2023,1,02:05:32,4,H,7.000
lecam,tokyo2023,1,02:05:36,5,30,5.000
edwor,tokyo2023,1,02:20:13,4,30,7.000
sabet,tokyo2023,1,02:21:40,5,35,5.000
kihai,tokyo2024,1,02:05:43,4,35,7.000
getse,tokyo2024,1,02:06:25,5,H,5.000
hasif,tokyo2024,1,02:18:05,4,30,7.000
sabet,tokyo2024,1,02:19:17,5,35,5.000
kitit,tokyo2025,1,02:05:34,4,H,7.000
ummul,tokyo2025,1,02:05:46,5,H,5.000
mamag,tokyo2025,1,02:19:28,4,31,7.000
waros,tokyo2025,1,02:19:57,5,30,5.000
sasab,berlin2025,1,02:02:16,1,30,30.000
akaki,berlin2025,1,02:06:15,2,H,15.000
dechi,berlin2025,1,02:06:57,3,H,10.000
adguy,berlin2025,1,02:07:11,4,35,8.000
uryuh,berlin2025,1,02:07:35,5,H,6.500
waros,berlin2025,1,02:21:05,1,30,30.000
dider,berlin2025,1,02:21:08,2,H,15.000
geazm,berlin2025,1,02:21:29,3,30,10.000
chvio,berlin2025,1,02:21:40,4,35,8.000
wofan,berlin2025,1,02:21:57,5,H,6.500
memil,berlin2024,1,02:03:17,1,H,30.000
kocyb,berlin2024,1,02:03:22,2,30,15.000
alhay,berlin2024,1,02:03:31,3,H,10.000
kiste,berlin2024,1,02:03:37,4,H,8.000
kihai,berlin2024,1,02:04:35,5,H,6.500
ketig,berlin2024,1,02:16:42,1,H,30.000
fimes,berlin2024,1,02:18:48,2,H,15.000
mubos,berlin2024,1,02:19:00,3,H,10.000
muabe,berlin2024,1,02:20:20,4,H,8.000
hoai,berlin2024,1,02:20:31,5,H,6.500
kieli,berlin2023,1,02:02:42,1,35,30.000
kivin,berlin2023,1,02:03:13,2,H,15.000
tatad,berlin2023,1,02:03:24,3,H,10.000
koron,berlin2023,1,02:04:22,4,30,8.000
tehaf,berlin2023,1,02:04:42,5,H,6.500
astig,berlin2023,1,02:11:53,1,H,30.000
chshe,berlin2023,1,02:17:49,2,30,15.000
shmag,berlin2023,1,02:18:41,3,H,10.000
yizei,berlin2023,1,02:19:07,4,H,8.000
tesen,berlin2023,1,02:19:21,5,H,6.500
jeper,wm2025,2,02:24:43,1,30,
astig,wm2025,2,02:24:45,2,H,
pajul,wm2025,2,02:27:23,3,H,
sialp,wm2025,2,02:09:48,1,30,
peama,wm2025,2,02:09:48,2,30,
aoili,wm2025,2,02:09:53,3,30,
kivic,wm2023,2,02:08:53,1,H,
temar,wm2023,2,02:09:12,2,30,
geleu,wm2023,2,02:09:19,3,30,
shama,wm2023,2,02:24:23,1,30,
gegot,wm2023,2,02:24:34,2,H,
gafat,wm2023,2,02:25:17,3,30,
totam,olymp2024,3,02:06:26,1,30,
abbas,olymp2024,3,02:06:47,2,35,
kiben,olymp2024,3,02:07:00,3,30,
hasif,olymp2024,3,02:22:55,1,30,
astig,olymp2024,3,02:22:58,2,H,
obhel,olymp2024,3,02:23:10,3,35,
jeper,olymp2021,3,02:27:20,1,H,
kobri,olymp2021,3,02:27:36,2,H,
semol,olymp2021,3,02:27:46,3,H,
kieli,olymp2021,3,02:08:38,1,35,
naabd,olymp2021,3,02:09:58,2,30,
abbas,olymp2021,3,02:10:00,3,30,
kojoh,boston2025,1,02:04:45,1,H,150.000
sialp,boston2025,1,02:04:54,2,30,75.000
kocyb,boston2025,1,02:05:04,3,30,40.000
macon,boston2025,1,02:05:08,4,H,25.000
edmuk,boston2025,1,02:05:59,5,30,18.000
losha,boston2025,1,02:17:22,1,30,200.000
obhel,boston2025,1,02:17:41,2,35,75.000
yeyal,boston2025,1,02:18:06,3,H,40.000
chire,boston2025,1,02:21:32,4,30,25.000
beama,boston2025,1,02:21:58,5,30,18.000
lesis,boston2024,1,02:06:17,1,30,150.000
esmoh,boston2024,1,02:06:58,2,H,75.000
cheva,boston2024,1,02:07:22,3,35,40.000
kojoh,boston2024,1,02:07:40,4,H,25.000
koalb,boston2024,1,02:07:47,5,30,18.000
obhel,boston2024,1,02:22:37,1,30,150.000
losha,boston2024,1,02:22:45,2,30,75.000
kiedn,boston2024,1,02:23:21,3,40,40.000
dibuz,boston2024,1,02:24:04,4,30,25.000
tesen,boston2024,1,02:24:04,5,H,18.000
cheva,boston2023,1,02:05:54,1,30,150.000
gegab,boston2023,1,02:06:04,2,H,75.000
kiben,boston2023,1,02:06:06,3,30,40.000
koalb,boston2023,1,02:08:01,4,H,25.000
tazou,boston2023,1,02:08:35,5,H,18.000
obhel,boston2023,1,02:21:38,1,30,150.000
beama,boston2023,1,02:21:50,2,30,75.000
